Phenotype1,Phenotype2,Log2(OR),95% CI Lower,95% CI Upper,P_adj,Significance
Corpus Callosum Hypoplasia/Agenesis,Foot Deformities,-0.011457125,-1.058773013,1.035858763,1,ns
Friendly/Amiable Affect,Urinary Tract Infection,-0.011002494,-1.686060789,1.664055801,1,ns
Hypertelorism,Developmental Delay/Intellectual Disability,-0.010751387,-2.036252928,2.014750155,1,ns
Ventricular Septal Defect,Bicuspid Aortic Valve,-0.008249887,-2.52267984,2.506180066,1,ns
Ventricular Septal Defect,Pyelectasis,-0.008249887,-2.52267984,2.506180066,1,ns
Ventricular Septal Defect,Café-au-lait Spots,-0.008249887,-2.52267984,2.506180066,1,ns
Widely Spaced Teeth,Speech Developmental Delay,-0.00749259,-1.520893816,1.505908636,1,ns
Motor Developmental Delay,Pigmentation Abnormalities,-0.007479965,-1.388323465,1.373363535,1,ns
Language Disorder,Hypoplasia Hand Muscles,-0.007206734,-1.667982082,1.653568614,1,ns
Language Disorder,Inguinal Hernia,-0.007206734,-1.667982082,1.653568614,1,ns
Pale Irides,Low-Set Ears,-0.006004983,-1.75676311,1.744753145,1,ns
Narrow/Short Palpebral Fissures,Pulmonary Valve Stenosis,0,-2.571428862,2.571428862,1,ns
Tubular or Pear-Shaped Nose,Thin Upper Lip,0.002926855,-1.2188196,1.22467331,1,ns
Slender/Long Fingers,Otitis Media,0.005267719,-2.000835337,2.011370776,1,ns
Feeding Difficulties,Macrocephaly,0.005814396,-1.211827361,1.223456153,1,ns
Long Face,Cryptorchidism,0.006477726,-0.806252841,0.819208292,1,ns
Atrial Septal Defect,Abnormal Hair Color/Texture,0.007087559,-0.872693949,0.886869067,1,ns
Anxiety,Tracheomalacia/Laryngomalacia,0.009018635,-1.303180831,1.321218101,1,ns
Large/Prominent Ears,Hyperopia,0.0104765,-0.932616318,0.953569318,1,ns
Upward Slanting Palpebral Fissures,Seizures,0.010692079,-0.693300605,0.714684763,1,ns
Hypertelorism,Inguinal Hernia,0.010751387,-2.014750155,2.036252928,1,ns
Age,Urinary Tract Infection,0.011646441,-1.712277221,1.735570103,1,ns
Neonatal Jaundice,High/Broad Forehead,0.012041343,-1.225728027,1.249810713,1,ns
Hypotonia,Hip Dislocation/Dysplasia,0.012332449,-1.074346381,1.099011279,1,ns
Upward Slanting Palpebral Fissures,ADHD,0.012423715,-1.152164814,1.177012245,1,ns
Corpus Callosum Hypoplasia/Agenesis,Hydronephrosis,0.013342939,-1.413753262,1.44043914,1,ns
Anxiety,Myopia,0.015646191,-1.978179685,2.009472066,1,ns
Anxiety,Pigmentation Abnormalities,0.015646191,-1.978179685,2.009472066,1,ns
Hearing Impairment,Hydronephrosis,0.017346157,-1.2690959,1.303788214,1,ns
Low-Set Ears,Language Disorder,0.017434593,-0.880978781,0.915847968,1,ns
Ventricular Septal Defect,Hip Dislocation/Dysplasia,0.01824983,-1.39159492,1.428094581,1,ns
Seizures,Hyperopia,0.018709082,-0.806730254,0.844148419,1,ns
Neonatal Jaundice,Tubular or Pear-Shaped Nose,0.021485879,-0.897049924,0.940021682,1,ns
Hydrocephalus,Developmental Delay/Intellectual Disability,0.022675438,-4.155503945,4.200854821,1,ns
Microcephaly,Pale Irides,0.023129875,-4.16901333,4.21527308,1,ns
Microcephaly,Widely Spaced Teeth,0.023129875,-4.16901333,4.21527308,1,ns
Microcephaly,Widely Spaced Nipples,0.023129875,-4.16901333,4.21527308,1,ns
Craniosynostosis,Pale Irides,0.023129875,-4.16901333,4.21527308,1,ns
Craniosynostosis,Widely Spaced Teeth,0.023129875,-4.16901333,4.21527308,1,ns
Craniosynostosis,Widely Spaced Nipples,0.023129875,-4.16901333,4.21527308,1,ns
Thin Upper Lip,Hyperopia,0.024230577,-1.407978398,1.456439553,1,ns
Macrocephaly,Pale Irides,0.024609467,-2.47250068,2.521719615,1,ns
Macrocephaly,Widely Spaced Teeth,0.024609467,-2.47250068,2.521719615,1,ns
Macrocephaly,Widely Spaced Nipples,0.024609467,-2.47250068,2.521719615,1,ns
Widely Spaced Teeth,Multiple Nevi,0.024609467,-2.47250068,2.521719615,1,ns
Vesicoureteral Reflux,Widely Spaced Nipples,0.024609467,-2.47250068,2.521719615,1,ns
Multiple Nevi,Widely Spaced Nipples,0.024609467,-2.47250068,2.521719615,1,ns
Anxiety,Atrial Septal Defect,0.025849651,-1.160375093,1.212074394,1,ns
Craniosynostosis,Ptosis,0.026655632,-2.573107982,2.626419246,1,ns
Macrocephaly,Ptosis,0.028358555,-1.520106261,1.576823371,1,ns
Ptosis,Sacral Dimple,0.028358555,-1.520106261,1.576823371,1,ns
Tongue Protrusion,Narrow/High Palate,0.029638211,-2.506551842,2.565828264,1,ns
Thin Upper Lip,Abnormal EEG,0.030788925,-1.679503931,1.741081781,1,ns
Tracheomalacia/Laryngomalacia,Foot Deformities,0.030950436,-1.097848989,1.159749861,1,ns
Micrognathia,Pectus Excavatum,0.03319071,-2.475801269,2.542182689,1,ns
Pectus Excavatum,Inguinal Hernia,0.03319071,-2.475801269,2.542182689,1,ns
Failure to Thrive in Infancy,Pulmonary Valve Stenosis,0.034695741,-4.15043927,4.219830753,1,ns
Intrauterine Growth Restriction,Hydronephrosis,0.036117632,-1.942293053,2.014528316,1,ns
High/Broad Nasal Bridge,Hearing Impairment,0.037214784,-0.997231959,1.071661527,1,ns
Neonatal Jaundice,Hip Dislocation/Dysplasia,0.039247011,-1.138975559,1.217469581,1,ns
Hypertelorism,Long/Prominent Philtrum,0.039247011,-1.138975559,1.217469581,1,ns
Abnormal EEG,Ventricular Septal Defect,0.040152521,-1.490945913,1.571250954,1,ns
Motor Developmental Delay,Patent Foramen Ovale,0.041075943,-1.514141264,1.59629315,1,ns
Neonatal Jaundice,Corpus Callosum Hypoplasia/Agenesis,0.043515308,-1.043712105,1.13074272,1,ns
Neonatal Jaundice,Joint Hyperlaxity,0.043691282,-0.886642686,0.974025251,1,ns
Feeding Difficulties,Pectus Excavatum,0.048346996,-1.072224879,1.168918871,1,ns
Low-Set Ears,Hydronephrosis,0.048374284,-1.379686257,1.476434824,1,ns
High/Broad Nasal Bridge,Long/Prominent Philtrum,0.049552484,-1.189433096,1.288538065,1,ns
Slender/Long Fingers,Hip Dislocation/Dysplasia,0.049552484,-1.189433096,1.288538065,1,ns
Speech Developmental Delay,Scoliosis/Kyphosis,0.049600015,-0.785982786,0.885182817,1,ns
Short Stature,Enlarged Ventricles,0.050315051,-1.26686801,1.367498112,1,ns
Bulbous Nasal Tip,Dry Skin/Hyperkeratosis/Eczema,0.05158037,-1.261446521,1.364607261,1,ns
Otitis Media,Hypotonia,0.052229959,-1.708603652,1.81306357,1,ns
Dry Skin/Hyperkeratosis/Eczema,Abnormal Hair Color/Texture,0.052229959,-1.262167664,1.366627582,1,ns
Narrow/Short Palpebral Fissures,Joint Hyperlaxity,0.054835866,-0.898288921,1.007960653,1,ns
Low Birth Weight,Bulbous Nasal Tip,0.05867237,-1.342332877,1.459677617,1,ns
Dolichocephaly,Slender Lower Limbs,0.058773709,-4.146677427,4.264224846,1,ns
Pale Irides,Scoliosis/Kyphosis,0.059501012,-1.546200858,1.665202882,1,ns
Widely Spaced Teeth,Scoliosis/Kyphosis,0.059501012,-1.546200858,1.665202882,1,ns
Hyperopia,Hip Dislocation/Dysplasia,0.060976278,-1.028354718,1.150307273,1,ns
Microcephaly,Enlarged Ventricles,0.06268707,-2.537684956,2.663059096,1,ns
Craniosynostosis,Enlarged Ventricles,0.06268707,-2.537684956,2.663059096,1,ns
Narrow/High Palate,Hip Dislocation/Dysplasia,0.062847575,-1.252441719,1.378136869,1,ns
Widely Spaced Teeth,Foot Deformities,0.062934419,-1.689373497,1.815242335,1,ns
Hypodontia,Strabismus,0.062960944,-1.059184008,1.185105896,1,ns
Narrow/High Palate,Pigmentation Abnormalities,0.063338349,-1.932083747,2.058760445,1,ns
Strabismus,Tracheomalacia/Laryngomalacia,0.064010586,-0.917825763,1.045846935,1,ns
Strabismus,Hip Dislocation/Dysplasia,0.064010586,-0.917825763,1.045846935,1,ns
Dolichocephaly,Seizures,0.064368819,-2.100804807,2.229542445,1,ns
Seizures,Pulmonary Valve Stenosis,0.064851144,-1.851794556,1.981496844,1,ns
Short Stature,Slender Lower Limbs,0.065737797,-1.925379523,2.056855117,1,ns
Seizures,Nystagmus,0.065837813,-1.540995853,1.67267148,1,ns
Failure to Thrive in Infancy,Seizures,0.066342495,-1.435261807,1.567946797,1,ns
Enlarged Ventricles,Vesicoureteral Reflux,0.066726114,-1.482897724,1.616349951,1,ns
Enlarged Ventricles,Multiple Nevi,0.066726114,-1.482897724,1.616349951,1,ns
Enlarged Ventricles,Sacral Dimple,0.066726114,-1.482897724,1.616349951,1,ns
Microcephaly,Speech Developmental Delay,0.068306013,-2.119977576,2.256589603,1,ns
Craniosynostosis,Speech Developmental Delay,0.068306013,-2.119977576,2.256589603,1,ns
Bulbous Nasal Tip,Widely Spaced Nipples,0.068306013,-1.444259534,1.580871561,1,ns
Drooling,ADHD,0.068473733,-1.268546444,1.40549391,1,ns
Thin Upper Lip,Seizures,0.06898661,-1.117108533,1.255081753,1,ns
Dolichocephaly,Low-Set Ears,0.069207275,-2.570077366,2.708491916,1,ns
Hypertelorism,Slender Lower Limbs,0.069877825,-1.66618224,1.805937889,1,ns
Narrow/Short Palpebral Fissures,Hydronephrosis,0.072524389,-1.470121816,1.615170594,1,ns
Macrocephaly,Speech Developmental Delay,0.072603749,-1.229587492,1.37479499,1,ns
Sparse Eyebrows,Epicanthal Folds,0.07330521,-1.003501962,1.150112382,1,ns
Language Disorder,Scoliosis/Kyphosis,0.075431554,-0.754007518,0.904870625,1,ns
Long/Prominent Philtrum,Seizures,0.075617047,-0.830061077,0.98129517,1,ns
Epicanthal Folds,ADHD,0.077478753,-1.149944546,1.304902051,1,ns
Large/Prominent Ears,Hip Dislocation/Dysplasia,0.078594942,-0.948537543,1.105727428,1,ns
Tracheomalacia/Laryngomalacia,Scoliosis/Kyphosis,0.078594942,-0.948537543,1.105727428,1,ns
Bulbous Nasal Tip,Inguinal Hernia,0.082130398,-1.577901206,1.742162001,1,ns
Age,Strabismus,0.082313717,-0.685901247,0.850528681,1,ns
Hypertelorism,Hearing Impairment,0.082525191,-0.895414516,1.060464898,1,ns
Hearing Impairment,Ventricular Septal Defect,0.084216571,-1.081072465,1.249505607,1,ns
Foot Deformities,Urinary Tract Infection,0.084268917,-1.972447513,2.140985347,1,ns
Age,Narrow/High Palate,0.085228116,-0.951459738,1.121915969,1,ns
Hip Dislocation/Dysplasia,Hypoplasia Hand Muscles,0.087504299,-1.939819926,2.114828523,1,ns
Strabismus,Vesicoureteral Reflux,0.08761611,-1.216954499,1.392186719,1,ns
Strabismus,Constipation,0.08761611,-1.216954499,1.392186719,1,ns
Seizures,Hearing Impairment,0.087907089,-0.66532045,0.841134628,1,ns
Large/Prominent Ears,ADHD,0.08813091,-1.186780398,1.363042218,1,ns
Dolichocephaly,Hypotonia,0.089428782,-2.547769553,2.726627116,1,ns
Narrow/High Palate,Ventricular Septal Defect,0.090711328,-1.442724952,1.624147608,1,ns
Tubular or Pear-Shaped Nose,Atrial Septal Defect,0.091407109,-0.757306794,0.940121013,1,ns
Micrognathia,ADHD,0.092769106,-2.418379612,2.603917824,1,ns
ADHD,Patent Foramen Ovale,0.092769106,-2.418379612,2.603917824,1,ns
ADHD,Inguinal Hernia,0.092769106,-2.418379612,2.603917824,1,ns
Thin Upper Lip,Corpus Callosum Hypoplasia/Agenesis,0.092779079,-1.341236814,1.526794972,1,ns
Large/Prominent Ears,Astigmatism,0.093636609,-1.718965847,1.906239065,1,ns
Large/Prominent Ears,Bicuspid Aortic Valve,0.093636609,-1.718965847,1.906239065,1,ns
Nystagmus,Scoliosis/Kyphosis,0.093636609,-1.718965847,1.906239065,1,ns
Scoliosis/Kyphosis,Café-au-lait Spots,0.093636609,-1.718965847,1.906239065,1,ns
Cleft Lip/Palate,Hydrocephalus,0.094058234,-4.089772605,4.277889072,1,ns
Hydrocephalus,Astigmatism,0.094058234,-4.089772605,4.277889072,1,ns
Hydrocephalus,Nystagmus,0.094058234,-4.089772605,4.277889072,1,ns
Hydrocephalus,Bicuspid Aortic Valve,0.094058234,-4.089772605,4.277889072,1,ns
Hydrocephalus,Pyelectasis,0.094058234,-4.089772605,4.277889072,1,ns
Macroglossia,Hypotonia,0.094250326,-1.468112274,1.656612926,1,ns
Feeding Difficulties,Astigmatism,0.094636874,-1.53119237,1.720466119,1,ns
Corpus Callosum Hypoplasia/Agenesis,Scoliosis/Kyphosis,0.094685416,-0.852556093,1.041926925,1,ns
Widely Spaced Teeth,Dry Skin/Hyperkeratosis/Eczema,0.096285139,-2.40410393,2.596674207,1,ns
Bulbous Nasal Tip,Hearing Impairment,0.096418083,-0.706403217,0.899239384,1,ns
Abnormal EEG,Anxiety,0.097690576,-1.31111631,1.506497463,1,ns
High/Broad Forehead,Hip Dislocation/Dysplasia,0.098211736,-1.143320109,1.339743581,1,ns
Atrial Septal Defect,Cryptorchidism,0.098287709,-0.869322924,1.065898341,1,ns
Low-Set Ears,Corpus Callosum Hypoplasia/Agenesis,0.099119971,-0.921252699,1.119492642,1,ns
Neonatal Jaundice,Microcephaly,0.09930202,-2.501705523,2.700309563,1,ns
Hearing Impairment,Hypopigmentation,0.101470878,-1.538207126,1.741148883,1,ns
Cleft Lip/Palate,Broad Chin,0.101954643,-2.416072691,2.619981977,1,ns
Broad Chin,Pyelectasis,0.101954643,-2.416072691,2.619981977,1,ns
Hypodontia,Corpus Callosum Hypoplasia/Agenesis,0.10195924,-1.150206337,1.354124817,1,ns
Hyperopia,Foot Deformities,0.103401498,-0.917488663,1.124291659,1,ns
Motor Developmental Delay,Scoliosis/Kyphosis,0.103556192,-0.677529262,0.884641646,1,ns
Ptosis,Hypertelorism,0.104382711,-1.026926411,1.235691832,1,ns
Intrauterine Growth Restriction,Thin Upper Lip,0.105208882,-1.876980746,2.08739851,1,ns
Thin Upper Lip,Hydronephrosis,0.105208882,-1.876980746,2.08739851,1,ns
Neonatal Jaundice,Multiple Nevi,0.105756878,-1.445080463,1.656594219,1,ns
Macrocephaly,Hypertelorism,0.105756878,-1.445080463,1.656594219,1,ns
Hypertelorism,Constipation,0.105756878,-1.445080463,1.656594219,1,ns
Macrocephaly,Sparse Eyebrows,0.106150051,-1.609388689,1.821688792,1,ns
Sparse Eyebrows,Vesicoureteral Reflux,0.106150051,-1.609388689,1.821688792,1,ns
Sparse Eyebrows,Sacral Dimple,0.106150051,-1.609388689,1.821688792,1,ns
Anxiety,Vesicoureteral Reflux,0.106150051,-1.609388689,1.821688792,1,ns
Narrow/Short Palpebral Fissures,Narrow/High Palate,0.106166569,-1.210944727,1.423277864,1,ns
Thin Upper Lip,Long/Prominent Philtrum,0.106885634,-1.44016486,1.653936128,1,ns
Failure to Thrive in Infancy,Atrial Septal Defect,0.107187899,-1.669929128,1.884304927,1,ns
Hyperopia,Constipation,0.107502771,-1.332351688,1.54735723,1,ns
Hyperopia,Sacral Dimple,0.107502771,-1.332351688,1.54735723,1,ns
Macrocephaly,Large/Prominent Ears,0.110676231,-1.250805717,1.47215818,1,ns
Large/Prominent Ears,Multiple Nevi,0.110676231,-1.250805717,1.47215818,1,ns
Enlarged Ventricles,Bicuspid Aortic Valve,0.111299123,-1.929596304,2.152194549,1,ns
Corpus Callosum Hypoplasia/Agenesis,Language Disorder,0.113993726,-0.772918966,1.000906419,1,ns
Hypodontia,Slender Lower Limbs,0.117237675,-1.875800341,2.110275691,1,ns
Sparse Eyebrows,Widely Spaced Teeth,0.118331001,-1.884356492,2.121018495,1,ns
Microcephaly,Otitis Media,0.119052672,-4.076802761,4.314908104,1,ns
Craniosynostosis,Otitis Media,0.119052672,-4.076802761,4.314908104,1,ns
Foot Deformities,Hydronephrosis,0.11998142,-1.310133313,1.550096154,1,ns
Slender/Long Fingers,Pulmonary Valve Stenosis,0.120016097,-2.453844285,2.693876479,1,ns
Speech Developmental Delay,Hyperopia,0.120262075,-0.770380141,1.010904292,1,ns
Friendly/Amiable Affect,Sacral Dimple,0.120713866,-1.088729637,1.330157369,1,ns
High/Broad Nasal Bridge,Small Teeth,0.122856748,-1.894980389,2.140693885,1,ns
Slender/Long Fingers,Hypopigmentation,0.122856748,-1.894980389,2.140693885,1,ns
Everted Lower Lip,Tracheomalacia/Laryngomalacia,0.123093692,-0.934319135,1.18050652,1,ns
Hydrocephalus,Motor Developmental Delay,0.126623851,-1.70401593,1.957263632,1,ns
Macrocephaly,Otitis Media,0.126912112,-2.377282987,2.631107212,1,ns
Narrow/Short Palpebral Fissures,Hypoplasia Hand Muscles,0.126912112,-1.901389111,2.155213336,1,ns
Otitis Media,Vesicoureteral Reflux,0.126912112,-2.377282987,2.631107212,1,ns
Otitis Media,Constipation,0.126912112,-2.377282987,2.631107212,1,ns
Thin Upper Lip,Low-Set Ears,0.127773809,-1.307202486,1.562750103,1,ns
Hypertelorism,Strabismus,0.128704137,-0.83208922,1.089497493,1,ns
Sparse Eyebrows,Hearing Impairment,0.132453833,-0.945676893,1.21058456,1,ns
Developmental Delay/Intellectual Disability,Ventricular Septal Defect,0.134762643,-2.368611814,2.638137101,1,ns
Corpus Callosum Hypoplasia/Agenesis,Tracheomalacia/Laryngomalacia,0.136462994,-0.955760644,1.228686631,1,ns
Neonatal Jaundice,Atrial Septal Defect,0.13706186,-0.918913784,1.193037504,1,ns
ADHD,Ventricular Septal Defect,0.137832193,-1.573264081,1.848928467,1,ns
Seizures,Abnormal Hair Color/Texture,0.140274362,-0.590376798,0.870925521,1,ns
Everted Lower Lip,Seizures,0.14039485,-0.666381014,0.947170713,1,ns
Craniosynostosis,Bulbous Nasal Tip,0.141539037,-2.046205699,2.329283773,1,ns
Friendly/Amiable Affect,ADHD,0.141820382,-0.986722842,1.270363607,1,ns
Micrognathia,Pulmonary Valve Stenosis,0.143491594,-4.046505671,4.333488858,1,ns
Pulmonary Valve Stenosis,Inguinal Hernia,0.143491594,-4.046505671,4.333488858,1,ns
Strabismus,Joint Hyperlaxity,0.144202959,-0.629038829,0.917444747,1,ns
Dolichocephaly,Myopia,0.144691855,-4.063679535,4.353063245,1,ns
Dolichocephaly,Pigmentation Abnormalities,0.144691855,-4.063679535,4.353063245,1,ns
Open Mouth,Hypotonia,0.144860149,-1.907810991,2.197531289,1,ns
Broad Chin,Long/Prominent Philtrum,0.145639376,-1.272777663,1.564056415,1,ns
Macroglossia,Bilateral Kidneys,0.145912382,-4.081077003,4.372901767,1,ns
Everted Lower Lip,Bilateral Kidneys,0.146220741,-2.550783671,2.843225153,1,ns
Age,Scoliosis/Kyphosis,0.146996472,-0.661926778,0.955919723,1,ns
Strabismus,Hypoplasia Hand Muscles,0.147012992,-1.515495445,1.809521429,1,ns
Strabismus,Foot Deformities,0.147812095,-0.77067364,1.06629783,1,ns
Neonatal Jaundice,Bicuspid Aortic Valve,0.148675076,-1.893065068,2.190415219,1,ns
Neonatal Jaundice,Café-au-lait Spots,0.148675076,-1.893065068,2.190415219,1,ns
Hypertelorism,Café-au-lait Spots,0.148675076,-1.893065068,2.190415219,1,ns
ADHD,Abnormal Hair Color/Texture,0.148994862,-1.043857371,1.341847095,1,ns
Sparse Eyebrows,Narrow/High Palate,0.149781854,-1.261727521,1.561291228,1,ns
Hydrocephalus,Anxiety,0.150025444,-2.404403698,2.704454586,1,ns
Motor Developmental Delay,Atrial Septal Defect,0.150428385,-0.673293319,0.97415009,1,ns
Bulbous Nasal Tip,Slender/Long Fingers,0.150913268,-0.857518178,1.159344714,1,ns
Developmental Delay/Intellectual Disability,Seizures,0.151379495,-1.403722943,1.706481933,1,ns
High/Broad Forehead,Seizures,0.155053599,-0.792964339,1.103071537,1,ns
Narrow/High Palate,Multiple Nevi,0.155203196,-1.562301735,1.872708128,1,ns
Tubular or Pear-Shaped Nose,Macroglossia,0.156119202,-1.182223222,1.494461625,1,ns
Feeding Difficulties,Developmental Delay/Intellectual Disability,0.158916479,-1.396804242,1.714637199,1,ns
Long/Prominent Philtrum,Cryptorchidism,0.158989524,-0.899700214,1.217679262,1,ns
Cleft Lip/Palate,Pectus Excavatum,0.159624081,-2.360399497,2.679647658,1,ns
Astigmatism,Pectus Excavatum,0.159624081,-2.360399497,2.679647658,1,ns
Speech Developmental Delay,Hypopigmentation,0.159747484,-1.476795125,1.796290094,1,ns
Sparse Eyebrows,Seizures,0.160837751,-0.827466046,1.149141548,1,ns
Upward Slanting Palpebral Fissures,Strabismus,0.161242917,-0.602330122,0.924815956,1,ns
Language Disorder,Bicuspid Aortic Valve,0.161362988,-1.528885937,1.851611913,1,ns
Hypertelorism,Foot Deformities,0.161550105,-0.930548541,1.253648751,1,ns
Widely Spaced Teeth,Strabismus,0.163570995,-1.35178067,1.678922661,1,ns
Tubular or Pear-Shaped Nose,Seizures,0.165059246,-0.536820546,0.866939038,1,ns
Failure to Thrive in Infancy,High/Broad Forehead,0.165454045,-1.853580661,2.184488752,1,ns
High/Broad Forehead,Hypopigmentation,0.165454045,-1.853580661,2.184488752,1,ns
Ptosis,Cryptorchidism,0.165941393,-0.859485004,1.191367789,1,ns
Thin Upper Lip,Hypopigmentation,0.16726985,-2.342056349,2.676596049,1,ns
Hypotonia,Widely Spaced Nipples,0.170438873,-1.576945022,1.917822768,1,ns
Tongue Protrusion,Developmental Delay/Intellectual Disability,0.172790335,-3.995800626,4.341381297,1,ns
Everted Lower Lip,Strabismus,0.172825898,-0.696234347,1.041886144,1,ns
Hypertelorism,Myopia,0.172898318,-1.573327041,1.919123676,1,ns
Low-Set Ears,Motor Developmental Delay,0.173009926,-0.671822424,1.017842275,1,ns
Narrow/Short Palpebral Fissures,Hip Dislocation/Dysplasia,0.173058192,-1.011567513,1.357683897,1,ns
Microcephaly,Hip Dislocation/Dysplasia,0.174389668,-2.427977238,2.776756574,1,ns
Craniosynostosis,Long/Prominent Philtrum,0.174389668,-2.427977238,2.776756574,1,ns
Craniosynostosis,Tracheomalacia/Laryngomalacia,0.174389668,-2.427977238,2.776756574,1,ns
Hypertelorism,Hyperopia,0.174610687,-0.882821455,1.23204283,1,ns
Macrocephaly,Corpus Callosum Hypoplasia/Agenesis,0.175977672,-1.265675551,1.617630894,1,ns
Hyperopia,Hypotonia,0.175977672,-0.832758728,1.184714071,1,ns
Intrauterine Growth Restriction,Vesicoureteral Reflux,0.177124844,-1.809191009,2.163440696,1,ns
Hydronephrosis,Constipation,0.177124844,-1.809191009,2.163440696,1,ns
Enlarged Ventricles,Anxiety,0.177787119,-1.070130038,1.425704276,1,ns
Hydrocephalus,Cryptorchidism,0.179168846,-1.926891572,2.285229264,1,ns
Patent Foramen Ovale,Cryptorchidism,0.181997834,-1.612405262,1.976400929,1,ns
Widely Spaced Teeth,Motor Developmental Delay,0.184917716,-1.240429844,1.610265276,1,ns
Tracheomalacia/Laryngomalacia,Constipation,0.18593828,-1.367504397,1.739380957,1,ns
Hip Dislocation/Dysplasia,Vesicoureteral Reflux,0.18593828,-1.367504397,1.739380957,1,ns
Craniosynostosis,Hearing Impairment,0.186309215,-2.004208497,2.376826928,1,ns
Hearing Impairment,Hip Dislocation/Dysplasia,0.1863297,-0.798571365,1.171230766,1,ns
Tubular or Pear-Shaped Nose,Cryptorchidism,0.186413124,-0.656785658,1.029611906,1,ns
Pyelectasis,Abnormal Hair Color/Texture,0.186597902,-1.503912409,1.877108212,1,ns
Otitis Media,Scoliosis/Kyphosis,0.187270366,-1.435593369,1.810134101,1,ns
Feeding Difficulties,Joint Hyperlaxity,0.189194018,-0.53153287,0.909920907,1,ns
Hydronephrosis,Cryptorchidism,0.191048293,-1.159137511,1.541234097,1,ns
Slender/Long Fingers,Ventricular Septal Defect,0.192690445,-1.224154215,1.609535105,1,ns
Hyperopia,Hearing Impairment,0.196321467,-0.702820289,1.095463223,1,ns
Hypodontia,Cryptorchidism,0.19759996,-1.003897854,1.399097774,1,ns
Long Face,Astigmatism,0.197788381,-1.409203662,1.804780424,1,ns
Long Face,Bicuspid Aortic Valve,0.197788381,-1.409203662,1.804780424,1,ns
Long Face,Hypopigmentation,0.199308808,-1.302468907,1.701086523,1,ns
Epicanthal Folds,Inguinal Hernia,0.199885022,-1.46328287,1.863052914,1,ns
Seizures,Cryptorchidism,0.200052935,-0.611457332,1.011563203,1,ns
Seizures,Multiple Nevi,0.200464582,-1.008652476,1.40958164,1,ns
Long Face,Widely Spaced Teeth,0.20085283,-1.215285602,1.616991262,1,ns
Age,Astigmatism,0.201015635,-1.486226485,1.888257755,1,ns
Age,Pyelectasis,0.201015635,-1.486226485,1.888257755,1,ns
Abnormal EEG,Cryptorchidism,0.201047519,-0.945690155,1.347785193,1,ns
Feeding Difficulties,Otitis Media,0.20181624,-1.280266399,1.68389888,1,ns
Long Face,Speech Developmental Delay,0.202061335,-0.529582374,0.933705045,1,ns
Pale Irides,Joint Hyperlaxity,0.204881189,-1.25368955,1.663451928,1,ns
Widely Spaced Teeth,Joint Hyperlaxity,0.204881189,-1.25368955,1.663451928,1,ns
Failure to Thrive in Infancy,Corpus Callosum Hypoplasia/Agenesis,0.205606613,-1.573502331,1.984715557,1,ns
Low-Set Ears,Seizures,0.206732634,-0.634716376,1.048181645,1,ns
Drooling,Bilateral Kidneys,0.206980696,-2.490739473,2.904700864,1,ns
Strabismus,Ventricular Septal Defect,0.208208344,-0.927709781,1.34412647,1,ns
Feeding Difficulties,Abnormal EEG,0.208907425,-0.794766107,1.212580957,1,ns
Hearing Impairment,Cryptorchidism,0.209735805,-0.673623892,1.093095502,1,ns
Macrocephaly,Low-Set Ears,0.210936152,-1.231673086,1.653545391,1,ns
Enlarged Ventricles,Cryptorchidism,0.212153237,-0.815843073,1.240149546,1,ns
Tracheomalacia/Laryngomalacia,Pectus Excavatum,0.212797919,-1.210439318,1.636035157,1,ns
Drooling,Patent Foramen Ovale,0.213557764,-1.581431256,2.008546784,1,ns
Broad Chin,Scoliosis/Kyphosis,0.215050055,-1.00317992,1.433280029,1,ns
Intrauterine Growth Restriction,Micrognathia,0.21818017,-2.297811247,2.734171587,1,ns
Open Mouth,Speech Developmental Delay,0.21818017,-1.615805579,2.052165919,1,ns
Micrognathia,Hydronephrosis,0.21818017,-2.297811247,2.734171587,1,ns
Short Stature,Narrow/Short Palpebral Fissures,0.218404984,-1.1055215,1.542331469,1,ns
Cleft Lip/Palate,ADHD,0.219176463,-2.302994663,2.74134759,1,ns
ADHD,Pyelectasis,0.219176463,-2.302994663,2.74134759,1,ns
Hypertelorism,Anxiety,0.219499329,-1.030149619,1.469148277,1,ns
Feeding Difficulties,High/Broad Nasal Bridge,0.219820995,-0.733835079,1.173477069,1,ns
Narrow Hands,Hydrocephalus,0.220032377,-3.970425763,4.410490516,1,ns
Macroglossia,Pectus Excavatum,0.22060463,-1.771188496,2.212397755,1,ns
Failure to Thrive in Infancy,Craniosynostosis,0.220970346,-3.979107541,4.421048233,1,ns
Microcephaly,Small Teeth,0.220970346,-3.979107541,4.421048233,1,ns
Microcephaly,Hypopigmentation,0.220970346,-3.979107541,4.421048233,1,ns
Craniosynostosis,Small Teeth,0.220970346,-3.979107541,4.421048233,1,ns
Broad Chin,Joint Hyperlaxity,0.222685563,-0.904623847,1.349994972,1,ns
Upward Slanting Palpebral Fissures,Atrial Septal Defect,0.223021677,-0.617130494,1.063173848,1,ns
High/Broad Nasal Bridge,Atrial Septal Defect,0.223490781,-0.876360436,1.323341997,1,ns
Slender/Long Fingers,Atrial Septal Defect,0.223490781,-0.876360436,1.323341997,1,ns
Tubular or Pear-Shaped Nose,Pyelectasis,0.224293623,-1.462800719,1.911387965,1,ns
